	EPO	GATA3
155	ACHE	ENO1
156	ACHE	RACK1
157	ACHE	PAFAH1B1
158	RPS6	MCF2L
159	RPS6	RICTOR
160	RPS6	COPS5
161	RPS6	VHL
162	RPS6	VCAM1
163	RPS6	EIF4E
164	RPS6	RPS6KB1
165	RPS6	PCBP2
166	RPS6	PTEN
167	RPS6	YBX1
168	RPS6	HDAC6
169	RPS6	MDM2
170	RPS6	CUL1
171	RPS6	RPS15A
172	RPS6	HNRNPA1
173	RPS6	ATF4
174	RPS6	NPM1
175	RPS6	NDRG1
176	RPS6	ARRB2
177	RPS6	DICER1
178	RPS6	SMURF1
179	RPS6	IGF2BP1
180	RPS6	MYBBP1A
181	RPS6	CAND1
182	RPS6	SF3B1
183	RPS6	PRMT5
184	RPS6	TP53
185	RPS6	SRPK1
186	RPS6	MCM4
187	RPS6	PIAS2
188	RPS6	XPO1
189	RPS6	KIF11
190	RPS6	ICAM1
191	RPS6	POT1
192	RPS6	HSP90AA1
193	RPS6	FN1
194	RPS6	MTOR
195	RPS6	NCL
196	RPS6	TERF2
197	RPS6	RACK1
198	ACO2	RAC1
199	ACO2	SOD2
200	ACO2	MLH1
201	ACO2	VCAM1
202	ACO2	IDH1
203	ACO2	ALDOA
204	RPS6KB1	MTOR
205	RPS6KB1	CDK1
206	RPS6KB1	PLD2
207	RPS6KB1	SRC
208	RPS6KB1	LMNA
209	RPS6KB1	EP300
210	RPS6KB1	MDM2
211	RPS6KB1	KAT2B
212	RPS6KB1	XPO1
213	RPS6KB1	GSK3B
214	RPS6KB1	STAT1
215	RPS6KB1	PRKCZ
216	RPS6KB1	NDRG2
217	RPS6KB1	EIF4E
218	RPS6KB1	EIF4EBP1
219	RPS6KB1	AKT1
220	RPS6KB1	TP63
221	RPS6KB1	SYK
222	RPS6KB1	HSP90AA1
223	RPS6KB1	PDPK1
224	RPS6KB1	STK11
225	RPS6KB1	CDC42
226	RPS6KB1	CSNK2A1
227	RPS6KB1	RICTOR
228	RPS6KB1	NR1I2
229	RPS6KB1	RAC1
230	RPS6KB1	SQSTM1
231	RPS6KB1	RBX1
232	RPS6KB1	MAPK1
233	RPS6KB1	MAPK8
234	RPS6KB1	RHEB
235	RPS6KB1	PIK3CD
236	RAB22A	SMURF2
237	RAB22A	RAB5A
238	LRRK2	PRKDC
239	LRRK2	GNA13
240	LRRK2	SRPK1
241	LRRK2	PRKCZ
242	LRRK2	CALM1
243	LRRK2	HSPD1
244	LRRK2	DVL2
245	LRRK2	EZR
246	LRRK2	RAC1
247	LRRK2	AKT1
248	LRRK2	SNCA
249	LRRK2	HSP90AA1
250	LRRK2	VIM
251	LRRK2	RAB5A
252	LRRK2	ACTA2
253	LRRK2	GNAI2
254	LRRK2	ACTG1
255	LRRK2	MAP2K7
256	LRRK2	CASP8
257	LRRK2	MSN
258	LRRK2	CDC42
259	LRRK2	STK3
260	LRRK2	CALM3
261	LRRK2	RIPK1
262	LRRK2	BAX
263	LRRK2	TPM1
264	LRRK2	HSPA9
265	LRRK2	CALM2
266	LRRK2	HSPA4
267	LRRK2	CLTC
268	LRRK2	EIF4EBP1
269	ACTA2	FSCN1
270	ACTA2	LGALS3
271	ACTA2	EGFR
272	ACTA2	RPS15A
273	ACTA2	JUN
274	ACTA2	KCNMA1
275	ACTA2	TSC1
276	ACTA2	YBX1
277	ACTA2	GSTP1
278	ACTA2	MYH9
279	ACTA2	COPS5
280	ACTA2	MCM2
281	ACTA2	EP300
282	ACTA2	SMURF2
283	ACTA2	TPM1
284	ACTA2	TP53
285	ACTA2	CUL1
286	ACTA2	CAND1
287	ACTA2	ALOX12
288	ETS1	HMGB1
289	ETS1	NR3C1
290	ETS1	AR
291	ETS1	EP300
292	ETS1	MAPK13
293	ETS1	PSEN1
294	ETS1	JUN
295	ETS1	STAT6
296	ETS1	BRCA1
297	ETS1	JUND
298	ETS1	NFKB1
299	ETS1	KAT2B
300	ETS1	SMAD3
301	ETS1	PTHLH
302	ETS1	MAPK1
303	ETS1	STAT5B
304	ETS1	SET
305	ETS1	MAPK9
306	ETS1	MAPK3
307	ETS1	TSC1
308	ETS1	SLIT2
309	ETS1	PTEN
310	ETS1	NCL
311	ETS1	RUNX1
312	ETS1	TP53
313	ETS1	MAPK7
314	ETS1	ATF2
315	ETS1	SRC
316	ETS1	MAPK8
317	ETS1	GNAS
318	ETS1	APLP2
319	ETS1	EPAS1
320	ETS1	FOS
321	ETS1	MAPK14
322	ETS1	SP1
323	ETS1	GATA3
324	RPS15A	MCF2L
325	RPS15A	HNRNPA1
326	RPS15A	GALNT2
327	RPS15A	SRPK1
328	RPS15A	SMURF1
329	RPS15A	HSP90AA1
330	RPS15A	CUL1
331	RPS15A	RNF2
332	RPS15A	IGF2BP1
333	RPS15A	PTEN
334	RPS15A	CAND1
335	RPS15A	GRB2
336	RPS15A	PIAS2
337	RPS15A	COPS5
338	RPS15A	MCM2
339	RPS15A	SF3B1
340	RPS15A	VCAM1
341	RPS15A	MYBBP1A
342	RPS15A	ELF5
343	RPS15A	YBX1
344	RPS15A	NCL
345	RPS15A	FN1
346	RPS15A	CALM1
347	RPS15A	CDK2
348	RPS15A	PCBP2
349	RPS15A	NPM1
350	RPS15A	MCM4
351	RPS15A	DICER1
352	RPS15A	AHSA1
353	RPS15A	NFKB2
354	RPS15A	VHL
355	RPS15A	EGFR
356	RPS15A	PRMT5
357	ETV1	EP300
358	ETV1	CCND3
359	ETV1	MAPK14
360	ETV1	MAPK3
361	ETV1	MAPK8
362	ETV1	KAT2B
363	ETV1	JUN
364	ETV1	PSEN1
365	MCC	STRN
366	MCC	GRB2
367	MCC	CLIC1
368	MCC	MCM4
369	MCC	SYT6
370	MCC	NFKB2
371	MCC	CSNK1E
372	MCC	RAP1B
373	MCC	APEX1
374	MCC	COMT
375	MCC	ANXA2
376	MCC	KPNA2
377	MCC	LETM1
378	MCC	TFRC
379	MCC	UCHL1
380	MCC	VHL
381	MCC	FABP5
382	MCC	DFFA
383	MCC	PSME3
384	MCC	MSH6
385	MCC	NFKB1
386	MCC	IKBKB
387	MCC	SOD2
388	MCC	NPM1
389	MCC	CRYZ
390	MCC	MSH2
391	MCC	CUL1
392	MCC	RELA
393	MCC	EZR
394	MCC	MAP3K3
395	MCC	CDKN2A
396	MCC	MCM6
397	MCC	CDK4
398	MCC	CLTC
399	MCC	TFAM
400	ACTG1	FLNA
401	ACTG1	NFKB1
402	ACTG1	IKBKB
403	ACTG1	TNFRSF1A
404	ACTG1	BMI1
405	ACTG1	CTNND1
406	ACTG1	FN1
407	ACTG1	APOE
408	ACTG1	MAP3K3
409	ACTG1	MCM2
410	ACTG1	EZH2
411	ACTG1	GSN
412	ACTG1	NDRG1
413	ACTG1	RELA
414	ACTG1	MLH1
415	ACTG1	GRB2
416	ACTG1	NFKB2
417	ACTG1	HSP90AA1
418	ACTG1	MYH9
419	ACTG1	LIG4
420	ACTG1	RNF2
421	ACTG1	TRAF6
422	ACTG1	PDPK1
423	ACTG1	POU5F1
424	ACTG1	MAP3K7
425	ACTG1	RBX1
426	ACTG1	CDKN2A
427	ACTG1	BRCA1
428	ACTG1	VCL
429	ACTG1	CDK2
430	ACTG1	VASP
431	ACTG1	CDH1
432	ACTG1	SP1
433	ACTG1	RIPK1
434	ACTG1	MYC
435	MCL1	BCL2L11
436	MCL1	EDNRA
437	MCL1	GSK3B
438	MCL1	MAPK1
439	MCL1	HSPA4
440	MCL1	FBXW7
441	MCL1	BCL2L1
442	MCL1	TPT1
443	MCL1	BECN1
444	MCL1	TP53
445	MCL1	CDK1
446	MCL1	CASP3
447	MCL1	GSK3A
448	MCL1	TRAF6
449	MCL1	BIK
450	MCL1	CDK2
451	MCL1	MAPK8
452	MCL1	BAX
453	MCL1	HSPA1A
454	MCL1	MAPK3
455	MCL1	PIN1
456	MCL1	PRKAA1
457	MCL1	BBC3
458	MCM2	CTNND1
459	MCM2	HDAC6
460	MCM2	TERF1
461	MCM2	HSPA2
462	MCM2	CDK2
463	MCM2	EHD4
464	MCM2	TUBB3
465	MCM2	SET
466	MCM2	HSPA5
467	MCM2	RBM14
468	MCM2	PTBP1
469	MCM2	CCND1
470	MCM2	LMNA
471	MCM2	PRKDC
472	MCM2	FLNB
473	MCM2	XRCC6
474	MCM2	PCBP2
475	MCM2	MAP3K7
476	MCM2	PHGDH
477	MCM2	CDC42
478	MCM2	PRDX1
479	MCM2	MSN
480	MCM2	HNRNPA1
481	MCM2	MIF
482	MCM2	PARK7
483	MCM2	EP300
484	MCM2	CDK4
485	MCM2	HSPB1
486	MCM2	PRDX3
487	MCM2	ATM
488	MCM2	TCEA1
489	MCM2	CLTC
490	MCM2	FKBP1A
491	MCM2	AHSA1
492	MCM2	HNRNPK
493	MCM2	CDKN2A
494	MCM2	PPIA
495	MCM2	TGM2
496	MCM2	NCL
497	MCM2	CALM1
498	MCM2	PRMT1
499	MCM2	ACTN4
500	MCM2	PRDX2
501	MCM2	CTNNB1
502	MCM2	CLU
503	MCM2	JUP
504	MCM2	NUP62
505	MCM2	G6PD
506	MCM2	RACK1
507	MCM2	MAPK3
508	MCM2	NDUFS1
509	MCM2	SFPQ
510	MCM2	ENO1
511	MCM2	FLNA
512	MCM2	MAPK1
513	MCM2	MCM4
514	MCM2	CAND1
515	MCM2	PRKAA1
516	MCM2	GLS
517	MCM2	CALM2
518	MCM2	ADA
519	MCM2	VIM
520	MCM2	LGALS1
521	MCM2	NPM1
522	MCM2	CALR
523	MCM2	CTNNA1
524	MCM2	VCAM1
525	MCM2	ANXA1
526	MCM2	SERPINH1
527	MCM2	MYH9
528	MCM2	ANXA2
529	MCM2	HSPA1A
530	MCM2	CDK7
531	MCM2	FKBP4
532	MCM2	DHRS2
533	MCM2	TBK1
534	MCM2	HSP90AA1
535	MCM2	HSPA9
536	MCM2	GSTP1
537	MCM2	ALDOA
538	MCM2	CHMP1A
539	MCM2	HSPD1
540	MCM2	CSNK2A1
541	MCM2	XPO1
542	MCM2	GTF2H1
543	MCM2	FSCN1
544	MCM2	SF3B1
545	MCM2	NME2
546	MCM2	CCNB2
547	MCM2	RSF1
548	MCM2	MACF1
549	MCM2	EZR
550	MCM2	MCM6
551	MCM2	CAT
552	MCM2	FN1
553	MCM2	FABP5
554	MCM2	NME1
555	MCM2	KPNA2
556	MCM2	GRB2
557	MCM4	FBXW4
558	MCM4	PIAS2
559	MCM4	PYCARD
560	MCM4	CUL1
561	MCM4	LIG4
562	MCM4	PRMT1
563	MCM4	FKBP4
564	MCM4	SF3B1
565	MCM4	VCAM1
566	MCM4	MCM6
567	MCM4	CDK2
568	MCM4	EP300
569	MCM4	CDK1
570	MCM6	FN1
571	MCM6	TRAF6
572	MCM6	VCAM1
573	MCM6	CCND1
574	MCM6	CDK2
575	MCM6	HSPB1
576	MCM6	CDKN2A
577	MCM6	SF3B1
578	ACTN4	CDH1
579	ACTN4	MAPK14
580	ACTN4	HSPB1
581	ACTN4	CDKN2A
582	ACTN4	JUN
583	ACTN4	MAPK7
584	ACTN4	CTNNB1
585	ACTN4	POT1
586	ACTN4	APC
587	ACTN4	GRB2
588	ACTN4	VCL
589	ACTN4	MYH9
590	ACTN4	BMP7
591	ACTN4	STAT1
592	ACTN4	FN1
593	ACTN4	EGFR
594	ACTN4	VDR
595	ACTN4	FLNA
596	ACTN4	ICAM1
597	ACTN4	SHC1
598	ACTN4	VCAM1
599	ACTN4	ADORA2A
600	ACTN4	HSPA1A
601	ACTN4	RARA
602	ACTN4	TPM1
603	ACTN4	ALDOA
604	ACTN4	KPNA2
605	ACTN4	GSN
606	ACTN4	MAP3K3
607	ACTN4	TSG101
608	ACTN4	ITGB1
609	JADE1	CTNNB1
610	JADE1	AKT1
611	JADE1	PKD1
612	JADE1	VHL
613	JADE1	ING4
614	ACVR1	IKBKB
615	ACVR1	PAK1
616	ACVR1	SQSTM1
617	ACVR1	ACVRL1
618	ACVR1	SMURF1
619	ACVR1	TGFBR2
620	ACVR1	TGFBR1
621	ACVR1	BMP2
622	ACVR1	FKBP4
623	ACVR1	SMAD5
624	ACVR1	ENG
625	ACVR1	BMPR1A
626	ACVR1	RXRA
627	ACVR1	RAP2A
628	ACVR1	INHBA
629	ACVR1	BMPR2
630	ACVR1	BMP7
631	ACVR1	VDR
632	ACVRL1	TGFB1
633	ACVRL1	TGFBR1
634	ACVRL1	NR1H2
635	ACVRL1	FKBP1A
636	ACVRL1	XIAP
637	ACVRL1	TGFBR2
638	ACVRL1	HSP90AA1
639	ACVRL1	INHBA
640	ACVRL1	ENG
641	ACVRL1	DNMT1
642	ARID1A	SMAD2
643	ARID1A	SMARCA4
644	ARID1A	MBD2
645	ARID1A	CDK2
646	ARID1A	PRMT5
647	ARID1A	HDAC1
648	ARID1A	VDR
649	ARID1A	SMAD3
650	ARID1A	EP300
651	ARID1A	BRCA1
652	ARID1A	YAP1
653	ARID1A	RARA
654	ARID1A	TP53
655	ARID1A	MTA2
656	ARID1A	RARB
657	ARID1A	SMARCB1
658	EZH2	CDK2
659	EZH2	PRMT5
660	EZH2	RBX1
661	EZH2	PML
662	EZH2	NCL
663	EZH2	DNMT1
664	EZH2	RASA1
665	EZH2	BRCA1
666	EZH2	RACK1
667	EZH2	SF3B1
668	EZH2	MAP3K7
669	EZH2	YBX1
670	EZH2	SNAI1
671	EZH2	CDK1
672	EZH2	ATP1A1
673	EZH2	ASPSCR1
674	EZH2	PHGDH
675	EZH2	SRSF1
676	EZH2	EZH1
677	EZH2	HDAC1
678	EZH2	CTNNB1
679	EZH2	FABP5
680	EZH2	YBX3
681	EZH2	RUNX3
682	EZH2	POU5F1
683	EZH2	DNMT3A
684	EZH2	KAT2B
685	EZH2	RELA
686	EZH2	RAP1GAP
687	EZH2	YY1
688	EZH2	AKT1
689	EZH2	WT1
690	EZH2	JAK2
691	EZH2	RBM14
692	EZH2	KMT5A
693	EZH2	TP53
694	EZH2	RARA
695	EZH2	HSPB1
696	EZH2	AR
697	EZH2	DNMT3B
698	EZH2	CUL1
699	EZH2	HSPA1A
700	EZH2	XPO1
701	EZH2	RORA
702	EZH2	SIRT1
703	EZH2	HSPA1B
704	MDM2	PTK2
705	MDM2	SMURF1
706	MDM2	TSG101
707	MDM2	IRF1
708	MDM2	AR
709	MDM2	CUL1
710	MDM2	SMARCA4
711	MDM2	SF3B1
712	MDM2	CASP2
713	MDM2	SIRT6
714	MDM2	CDH1
715	MDM2	TRIM13
716	MDM2	WT1
717	MDM2	GATA3
718	MDM2	TP53
719	MDM2	LATS1
720	MDM2	RUNX3
721	MDM2	HDAC1
722	MDM2	RNF2
723	MDM2	EZR
724	MDM2	ARRB2
725	MDM2	GSK3B
726	MDM2	PSMD10
727	MDM2	CDKN2A
728	MDM2	CSNK2A1
729	MDM2	VDR
730	MDM2	GNAS
731	MDM2	TFRC
732	MDM2	EP300
733	MDM2	HSPA4
734	MDM2	NBN
735	MDM2	SUMO1
736	MDM2	SET
737	MDM2	GSN
738	MDM2	CASP3
739	MDM2	KAT2B
740	MDM2	RARA
741	MDM2	APEX1
742	MDM2	VIM
743	MDM2	JUND
744	MDM2	RB1
745	MDM2	TP73
746	MDM2	MDM4
747	MDM2	HCK
748	MDM2	S100A4
749	MDM2	XPO1
750	MDM2	NR3C1
751	MDM2	JUN
752	MDM2	NCL
753	MDM2	FOXO4
754	MDM2	LATS2
755	MDM2	YY1
756	MDM2	UCHL1
757	MDM2	CDK2
758	MDM2	SNAI2
759	MDM2	HIF1A
760	MDM2	AKT1
761	MDM2	HNF4A
762	MDM2	PIM1
763	MDM2	HNRNPK
764	MDM2	POT1
765	MDM2	GSTP1
766	MDM2	FOXO3
767	MDM2	ATF4
768	MDM2	ANG
769	MDM2	NOTCH1
770	MDM2	HSP90AA1
771	MDM2	FBXW7
772	MDM2	RASSF1
773	MDM2	XRCC6
774	MDM2	SNAI1
775	MDM2	FOXO1
776	MDM2	PSME3
777	MDM2	CDKN1A
778	MDM2	NPM1
779	MDM2	RELA
780	MDM2	PML
781	MDM2	IGF1R
782	MDM2	CSNK1E
783	MDM2	TP63
784	MDM2	SFPQ
785	MDM2	RCHY1
786	MDM2	WWOX
787	MDM2	TPT1
788	MDM2	COPS5
789	MDM2	PTBP1
790	MDM2	XIAP
791	MDM2	DHRS2
792	MDM2	PPM1D
793	MDM2	PBX1
794	MDM2	SRC
795	MDM2	CLU
796	MDM2	HIPK2
797	MDM2	AKT2
798	MDM2	ATM
799	MDM2	EGR1
800	MDM2	NME2
801	MDM4	EP300
802	MDM4	AKT1
803	MDM4	RB1
804	MDM4	SMAD3
805	MDM4	RCHY1
806	MDM4	TP73
807	MDM4	SMAD4
808	MDM4	CDKN1A
809	MDM4	ATM
810	MDM4	CDK1
811	MDM4	HSP90AA1
812	MDM4	CASP3
813	MDM4	NBN
814	MDM4	TP63
815	MDM4	TP53
816	MDM4	CDKN2A
817	MDM4	PRKAA1
818	F2R	ITGAV
819	F2R	SP1
820	F2R	GNA13
821	F2R	GNAI2
822	F2R	PLG
823	ADAM10	PXN
824	ADAM10	AR
825	ADAM10	DLL1
826	ADAM10	GRB2
827	ADAM10	MAD2L1
828	ADAM10	TGFA
829	ADAM10	EPHA3
830	ADAM10	EFNA1
831	NDRG2	SGK2
832	NDRG2	AKT1
833	NDRG2	NDRG1
834	F2RL1	COPS5
835	F2RL1	CAPN2
836	F2RL1	PLG
837	F3	SP1
838	F3	PRKCZ
839	F3	EGR1
840	F3	PLG
841	F3	PRKCE
842	F3	PRKCA
843	F3	FLNA
844	ADA	NR3C1
845	ADA	DPP4
846	ADA	DRD1
847	ADA	TP73
848	ADA	GRB2
849	ADA	SP1
850	ADA	HNRNPA1
851	ADA	PIAS2
852	ADA	ADORA2A
853	ADA	ADORA1
854	SMAD5	SF3B1
855	SMAD5	SOX5
856	SMAD5	SMAD2
857	SMAD5	SOX7
858	SMAD5	RUNX1
859	SMAD5	XPO1
860	SMAD5	EP300
861	SMAD5	COPS5
862	SMAD5	RUNX3
863	SMAD5	FLNA
864	SMAD5	YAP1
865	SMAD5	SMURF1
866	SMAD5	SMURF2
867	SMAD5	SMAD3
868	SMAD5	SMAD4
869	SMAD5	SFPQ
870	SMAD5	HDAC1
871	RXRA	CLOCK
872	RXRA	CTNNB1
873	RXRA	MAPK8
874	RXRA	MAPK14
875	RXRA	PML
876	RXRA	GSK3B
877	RXRA	NR1H2
878	RXRA	SMARCA4
879	RXRA	RARA
880	RXRA	PPARGC1A
881	RXRA	MAPK1
882	RXRA	GRB2
883	RXRA	PIK3R1
884	RXRA	MAPK3
885	RXRA	STAT1
886	RXRA	CASP2
887	RXRA	PNRC2
888	RXRA	VDR
889	RXRA	EGFR
890	RXRA	SP1
891	RXRA	MAPK9
892	RXRA	SRC
893	RXRA	EP300
894	RXRA	NR1I2
895	RXRA	NCOA6
896	RXRA	RARB
897	RXRA	MAPK13
898	RXRA	KLF5
899	RXRA	NFKB1
900	RXRA	SMAD2
901	RXRA	PARP1
902	RXRA	MAPK7
903	RXRA	RELA
904	MAP3K3	CALM1
905	MAP3K3	GNAI2
906	MAP3K3	MARK2
907	MAP3K3	COPS5
908	MAP3K3	BIRC2
909	MAP3K3	XIAP
910	MAP3K3	MAP3K7
911	MAP3K3	HSPA1A
912	MAP3K3	XPO1
913	MAP3K3	MAP3K5
914	MAP3K3	HSPA5
915	MAP3K3	RCAN1
916	MAP3K3	IKBKB
917	MAP3K3	CALM3
918	MAP3K3	PLOD1
919	MAP3K3	SPAG9
920	MAP3K3	BRCA1
921	MAP3K3	MAP2K7
922	MAP3K3	HSPA4
923	MAP3K3	SQSTM1
924	MAP3K3	TUBB3
925	MAP3K3	FLNA
926	MAP3K3	SMURF1
927	MAP3K3	EGFR
928	MAP3K3	VIM
929	MAP3K3	PRKDC
930	MAP3K3	RIPK1
931	MAP3K3	MYH9
932	MAP3K3	HSP90AA1
933	MAP3K3	PHGDH
934	MAP3K3	SGK2
935	MAP3K3	CLTC
936	MAP3K3	HSPA2
937	MAP3K3	HSPA9
938	MAP3K3	TRAF6
939	MAP3K3	MTOR
940	MAP3K3	CALM2
941	AXIN1	TSC1
942	AXIN1	CSNK1E
943	AXIN1	HIPK2
944	AXIN1	SMURF2
945	AXIN1	GSK3A
946	AXIN1	GNAS
947	AXIN1	SMYD2
948	AXIN1	CTNNA1
949	AXIN1	RNF111
950	AXIN1	SMAD3
951	AXIN1	DVL2
952	AXIN1	SMURF1
953	AXIN1	PML
954	AXIN1	PIN1
955	AXIN1	PRMT1
956	AXIN1	AXIN2
957	AXIN1	DAB2IP
958	AXIN1	MYC
959	AXIN1	SMAD2
960	AXIN1	JUP
961	AXIN1	XPO1
962	AXIN1	GSK3B
963	AXIN1	TP53
964	AXIN1	CTNNB1
965	AXIN1	TSC2
966	AXIN1	TGFBR1
967	AXIN1	APC
968	AXIN2	AMOT
969	AXIN2	CSNK1E
970	AXIN2	GSK3A
971	AXIN2	CTNNB1
972	AXIN2	APC
973	AXIN2	GSK3B
974	AXIN2	RNF111
975	AXIN2	SMAD3
976	BAP1	IGF1R
977	BAP1	HSPA2
978	BAP1	CASP8
979	BAP1	USP21
980	BAP1	YY1
981	BAP1	HSPA1A
982	BAP1	OGT
983	BAP1	BRCA1
984	BAP1	HSPA9
985	BAP1	PSME3
986	BAP1	NBN
987	BAP1	PTEN
988	FABP5	ENO1
989	FABP5	GLO1
990	FABP5	PIN1
991	FABP5	ALDOA
992	FABP5	VHL
993	FABP5	FKBP1A
994	FABP5	CDK2
995	FABP5	GRB2
996	FABP5	TRAF6
997	FABP5	MSN
998	FABP5	EZR
999	FABP5	HNF1A
1000	MAP3K5	PARK7
1001	MAP3K5	MAP3K7
1002	MAP3K5	MAP2K7
1003	MAP3K5	HSPA4
1004	MAP3K5	HSP90AA1
1005	MAP3K5	IGF1R
1006	MAP3K5	SOCS1
1007	MAP3K5	EP300
1008	MAP3K5	GNA13
1009	MAP3K5	TRAF6
1010	MAP3K5	GSTP1
1011	MAP3K5	AKT2
1012	MAP3K5	PDPK1
1013	MAP3K5	MAP2K1
1014	MAP3K5	AKT1
1015	MAP3K5	RAF1
1016	MAP3K5	KMT2A
1017	MAP3K5	DAB2IP
1018	MAP3K5	JAK2
1019	MAP3K5	MACF1
1020	MAP3K5	CDKN1A
1021	MAP3K5	HSPA1A
1022	MAP3K5	PIK3R1
1023	MAP3K5	ARRB2
1024	EHD4	TGFBR2
1025	EHD4	EGFR
1026	EHD4	CLTC
1027	EHD2	CLTC
1028	BRAP	HRAS
1029	BRAP	CUL1
1030	BRAP	CDKN1A
1031	BRAP	RAF1
1032	BRAP	BRCA1
1033	BRAP	MAP2K1
1034	BRAP	IKBKB
1035	BRAP	BRAF
1036	FZD1	WNT2
1037	FZD1	DERL2
1038	FZD1	GSK3B
1039	TNFRSF12A	BIRC2
1040	TNFRSF12A	RAC1
1041	S100A4	XIAP
1042	S100A4	APC
1043	S100A4	MYH9
1044	S100A4	ANXA2
1045	S100A4	CDK2
1046	S100A4	SMAD3
1047	S100A4	HSPB1
1048	S100A4	EGFR
1049	S100A4	SMAD2
1050	S100A4	TP53
1051	FZD4	DVL2
1052	FZD4	ARRB2
1053	ADM	EDN1
1054	ADM	TFAP2A
1055	ADORA1	GNAS
1056	ADORA1	DRD1
1057	ADORA1	GNAO1
1058	ADORA1	GNAI2
1059	ADORA2A	SP1
1060	ADORA2A	NAMPT
1061	ADORA2A	CALM2
1062	ADORA2A	DRD2
1063	PTK2B	STAT3
1064	PTK2B	GNA13
1065	PTK2B	ANXA6
1066	PTK2B	PXN
1067	PTK2B	FGFR2
1068	PTK2B	JAK2
1069	PTK2B	JAK3
1070	PTK2B	GRB2
1071	PTK2B	RASA1
1072	PTK2B	PTK2
