	BLM	EGFR
159	AGO2	TNRC6A
160	AGO2	PRKRA
161	AGO2	EGFR
162	AGO2	DHX9
163	AGO2	DICER1
164	AGO2	AGO1
165	AGO2	AGO4
166	AGO2	TARBP2
167	ERCC5	CDK7
168	AGO1	AGO3
169	AGO1	ELAVL1
170	AGO1	TP53
171	AGO1	TNRC6A
172	AGO1	COPS5
173	AGO1	DICER1
174	AGO1	PABPC1
175	AGO1	MOV10
176	AGO1	HSP90AA1
177	AGO1	TARBP2
178	GTF2H3	MNAT1
179	GTF2H3	BRCA1
180	GTF2H3	SMARCB1
181	GTF2H3	CDK7
182	GTF2H3	RPA1
183	AGO3	DICER1
184	AGO3	TARBP2
185	AGO3	TNRC6A
186	AGO3	AGO4
187	AGO3	HSP90AA1
188	AGO4	HSP90AA1
189	AGO4	TNRC6A
190	AGO4	PABPC1
191	AGO4	DICER1
192	UBQLN1	RAD23A
193	UBQLN1	RAD23B
194	UBQLN1	UBE4B
195	UBQLN1	PSMC2
196	UBQLN1	UBE3A
197	BRCA1	XRCC5
198	BRCA1	PCBP2
199	BRCA1	CDK7
200	BRCA1	HSP90AA1
201	BRCA1	SMARCB1
202	BRCA1	MSH2
203	BRCA1	UBE3A
204	BRCA1	DHX9
205	BRCA1	RPA1
206	BRCA1	HDAC1
207	BRCA1	DDB1
208	BRCA1	XRCC6
209	BRCA1	MSH3
210	BRCA1	TP53
211	BRCA1	MNAT1
212	BRCA1	ATM
213	BRCA1	RAD23B
214	BRCA1	PABPC1
215	EGFR	HSP90AA1
216	EGFR	RPA1
217	EGFR	DDX20
218	EGFR	XRCC5
219	EGFR	TP53
220	EGFR	XRCC6
221	HUS1	MSH3
222	HUS1	RPA1
223	HUS1	COPS5
224	HUS1	MSH2
225	HUS1	FEN1
226	HUS1	HDAC1
227	UBE4B	TP53
228	UBE4B	XPC
229	UBE4B	ELAVL1
230	UBE4B	RAD23A
231	UBE3A	TP53
232	UBE3A	RAD23B
233	UBE3A	RAD23A
234	UBE3A	XRCC6
235	CETN2	RAD23B
236	CETN2	XPC
237	DROSHA	DGCR8
238	DROSHA	TP53
239	DROSHA	RPA1
240	RAD23A	PSMC2
241	RAD23A	PCMT1
242	RAD23A	TP53
243	RAD23A	RAD23B
244	RAD23A	XRCC5
245	RAD23A	XPC
246	POLD1	RPA1
247	POLD1	COPS5
248	POLD1	DHX9
249	POLD1	XRCC5
250	RAD23B	ELAVL1
251	RAD23B	PSMC2
252	RAD23B	RPA1
253	RAD23B	XPC
254	PIWIL1	DICER1
255	PIWIL1	TP53
256	EIF4E	PABPC1
257	FEN1	MOV10
258	FEN1	MSH2
259	TNRC6A	PABPC1
260	EXO1	MSH3
261	EXO1	MSH2
262	EXO1	ATM
263	SMARCB1	ATM
264	SMARCB1	HDAC1
265	SMARCB1	TP53
266	SMARCB1	XPC
267	SMARCB1	COPS5
268	ELAVL1	DICER1
269	ELAVL1	MOV10
270	ELAVL1	RPA1
271	ELAVL1	PCBP2
272	ELAVL1	TP53
273	ELAVL1	PABPC1
274	ELAVL1	ATM
275	ELAVL1	RBX1
276	ELAVL1	DHX9
277	ELAVL1	COPS5
278	DDX20	DICER1
279	DDX20	COPS5
280	DDX20	DHX9
281	DDX20	PABPC1
282	MSH2	XRCC5
283	MSH2	SLX4
284	MSH2	RPA1
285	MSH2	ATM
286	MSH2	MSH3
287	MSH2	TP53
288	MSH2	XRCC6
289	MSH3	SLX4
290	MSH3	RPA1
291	XPC	RPA1
292	XPC	TP53
293	XPC	ATM
294	XPC	DDB2
295	XPC	DDB1
296	DGCR8	DHX9
297	ATM	TP53
298	ATM	RPA1
299	ATM	HDAC1
300	ATM	XRCC5
301	XRCC5	RPA1
302	XRCC5	XRCC6
303	XRCC5	DHX9
304	RPA1	TP53
305	RPA1	SLX4
306	RPA1	DDB1
307	RPA1	MNAT1
308	RPA1	PABPC1
309	RPA1	CDK7
310	RPA1	DHX9
311	RPA1	MOV10
312	RPA1	XRCC6
313	PCBP2	MOV10
314	PCBP2	PABPC1
315	PCBP2	DHX9
316	PCBP2	COPS5
317	PCBP2	DICER1
318	DDB1	COPS5
319	DDB1	SLX4
320	DDB1	RBX1
321	DDB1	HDAC1
322	DDB1	TP53
323	DDB1	DDB2
324	COPS5	PABPC1
325	COPS5	DHX9
326	COPS5	PCMT1
327	COPS5	DDB2
328	COPS5	MOV10
329	COPS5	TP53
330	COPS5	RBX1
331	COPS5	HSP90AA1
332	COPS5	XRCC6
333	DDB2	XRCC6
334	DDB2	TP53
335	DDB2	HDAC1
336	DDB2	RBX1
337	DICER1	DHX9
338	DICER1	PABPC1
339	DICER1	TARBP2
340	DICER1	PRKRA
341	DICER1	MOV10
342	MNAT1	TP53
343	MNAT1	CDK7
344	PABPC1	DHX9
345	PABPC1	TP53
346	PABPC1	MOV10
347	TARBP2	PRKRA
348	XRCC6	DHX9
349	XRCC6	TP53
350	XRCC6	MOV10
351	TP53	PCMT1
352	TP53	CDK7
353	TP53	RBX1
354	TP53	HDAC1
355	TP53	PRKRA
356	TP53	HSP90AA1
357	TP53	MOV10
358	MOV10	DHX9
359	HSP90AA1	HDAC1
360	HSP90AA1	CDK7
361	BLM	EGFR
