	EPO	GATA3
155	RPS6	YBX1
156	RPS6	HDAC6
157	RPS6	MDM2
158	RPS6	CUL1
159	RPS6	RPS15A
160	RPS6	HNRNPA1
161	RPS6	ATF4
162	RPS6	NDRG1
163	RPS6	ARRB2
164	RPS6	DICER1
165	RPS6	SMURF1
166	RPS6	IGF2BP1
167	RPS6	PRMT5
168	RPS6	TP53
169	RPS6	SRPK1
170	RPS6	MCM4
171	RPS6	PIAS2
172	RPS6	XPO1
173	RPS6	KIF11
174	RPS6	ICAM1
175	RPS6	HSP90AA1
176	RPS6	FN1
177	RPS6	MTOR
178	RPS6	NCL
179	RPS6	TERF2
180	RPS6	RACK1
181	RPS6KB1	MTOR
182	RPS6KB1	CDK1
183	RPS6KB1	PLD2
184	RPS6KB1	SRC
185	RPS6KB1	EP300
186	RPS6KB1	MDM2
187	RPS6KB1	KAT2B
188	RPS6KB1	XPO1
189	RPS6KB1	GSK3B
190	RPS6KB1	STAT1
191	RPS6KB1	PRKCZ
192	RPS6KB1	NDRG2
193	RPS6KB1	EIF4E
194	RPS6KB1	EIF4EBP1
195	RPS6KB1	AKT1
196	RPS6KB1	HSP90AA1
197	RPS6KB1	PDPK1
198	RPS6KB1	STK11
199	RPS6KB1	CDC42
200	RPS6KB1	CSNK2A1
201	RPS6KB1	RICTOR
202	RPS6KB1	NR1I2
203	RPS6KB1	RAC1
204	RPS6KB1	SQSTM1
205	RPS6KB1	RBX1
206	RPS6KB1	MAPK1
207	RPS6KB1	MAPK8
208	RPS6KB1	RHEB
209	RPS6KB1	PIK3CD
210	RAB22A	SMURF2
211	LRRK2	PRKDC
212	LRRK2	GNA13
213	LRRK2	SRPK1
214	LRRK2	PRKCZ
215	LRRK2	HSPD1
216	LRRK2	DVL2
217	LRRK2	EZR
218	LRRK2	RAC1
219	LRRK2	AKT1
220	LRRK2	SNCA
221	LRRK2	HSP90AA1
222	LRRK2	VIM
223	LRRK2	ACTA2
224	LRRK2	ACTG1
225	LRRK2	MAP2K7
226	LRRK2	CASP8
227	LRRK2	MSN
228	LRRK2	CDC42
229	LRRK2	STK3
230	LRRK2	RIPK1
231	LRRK2	BAX
232	LRRK2	TPM1
233	LRRK2	HSPA9
234	LRRK2	HSPA4
235	LRRK2	EIF4EBP1
236	ACTA2	FSCN1
237	ACTA2	LGALS3
238	ACTA2	EGFR
239	ACTA2	RPS15A
240	ACTA2	JUN
241	ACTA2	KCNMA1
242	ACTA2	TSC1
243	ACTA2	YBX1
244	ACTA2	GSTP1
245	ACTA2	MYH9
246	ACTA2	COPS5
247	ACTA2	MCM2
248	ACTA2	EP300
249	ACTA2	SMURF2
250	ACTA2	TPM1
251	ACTA2	TP53
252	ACTA2	CUL1
253	ACTA2	ALOX12
254	ETS1	HMGB1
255	ETS1	NR3C1
256	ETS1	AR
257	ETS1	EP300
258	ETS1	PSEN1
259	ETS1	JUN
260	ETS1	STAT6
261	ETS1	BRCA1
262	ETS1	NFKB1
263	ETS1	KAT2B
264	ETS1	SMAD3
265	ETS1	PTHLH
266	ETS1	MAPK1
267	ETS1	STAT5B
268	ETS1	SET
269	ETS1	MAPK9
270	ETS1	MAPK3
271	ETS1	TSC1
272	ETS1	SLIT2
273	ETS1	PTEN
274	ETS1	NCL
275	ETS1	RUNX1
276	ETS1	TP53
277	ETS1	MAPK7
278	ETS1	ATF2
279	ETS1	SRC
280	ETS1	MAPK8
281	ETS1	GNAS
282	ETS1	APLP2
283	ETS1	EPAS1
284	ETS1	FOS
285	ETS1	MAPK14
286	ETS1	SP1
287	ETS1	GATA3
288	RPS15A	MCF2L
289	RPS15A	HNRNPA1
290	RPS15A	SRPK1
291	RPS15A	SMURF1
292	RPS15A	HSP90AA1
293	RPS15A	CUL1
294	RPS15A	RNF2
295	RPS15A	IGF2BP1
296	RPS15A	PTEN
297	RPS15A	GRB2
298	RPS15A	PIAS2
299	RPS15A	COPS5
300	RPS15A	MCM2
301	RPS15A	VCAM1
302	RPS15A	ELF5
303	RPS15A	YBX1
304	RPS15A	NCL
305	RPS15A	FN1
306	RPS15A	CDK2
307	RPS15A	PCBP2
308	RPS15A	MCM4
309	RPS15A	DICER1
310	RPS15A	AHSA1
311	RPS15A	NFKB2
312	RPS15A	VHL
313	RPS15A	EGFR
314	RPS15A	PRMT5
315	ETV1	EP300
316	ETV1	MAPK14
317	ETV1	MAPK3
318	ETV1	MAPK8
319	ETV1	KAT2B
320	ETV1	JUN
321	ETV1	PSEN1
322	MCC	GRB2
323	MCC	CLIC1
324	MCC	MCM4
325	MCC	SYT6
326	MCC	NFKB2
327	MCC	CSNK1E
328	MCC	RAP1B
329	MCC	APEX1
330	MCC	ANXA2
331	MCC	KPNA2
332	MCC	LETM1
333	MCC	TFRC
334	MCC	UCHL1
335	MCC	VHL
336	MCC	FABP5
337	MCC	DFFA
338	MCC	PSME3
339	MCC	MSH6
340	MCC	NFKB1
341	MCC	IKBKB
342	MCC	SOD2
343	MCC	SLC9A3R1
344	MCC	CRYZ
345	MCC	MSH2
346	MCC	CUL1
347	MCC	RELA
348	MCC	EZR
349	MCC	MAP3K3
350	MCC	CDKN2A
351	MCC	MCM6
352	MCC	CDK4
353	ACTG1	FLNA
354	ACTG1	NFKB1
355	ACTG1	IKBKB
356	ACTG1	TNFRSF1A
357	ACTG1	BMI1
358	ACTG1	FN1
359	ACTG1	APOE
360	ACTG1	MAP3K3
361	ACTG1	MCM2
362	ACTG1	EZH2
363	ACTG1	GSN
364	ACTG1	NDRG1
365	ACTG1	RELA
366	ACTG1	MLH1
367	ACTG1	GRB2
368	ACTG1	NFKB2
369	ACTG1	HSP90AA1
370	ACTG1	MYH9
371	ACTG1	LIG4
372	ACTG1	RNF2
373	ACTG1	TRAF6
374	ACTG1	PDPK1
375	ACTG1	POU5F1
376	ACTG1	MAP3K7
377	ACTG1	RBX1
378	ACTG1	CDKN2A
379	ACTG1	BRCA1
380	ACTG1	VCL
381	ACTG1	CDK2
382	ACTG1	VASP
383	ACTG1	CDH1
384	ACTG1	SP1
385	ACTG1	RIPK1
386	ACTG1	MYC
387	MCL1	EDNRA
388	MCL1	GSK3B
389	MCL1	MAPK1
390	MCL1	HSPA4
391	MCL1	FBXW7
392	MCL1	TPT1
393	MCL1	BECN1
394	MCL1	TP53
395	MCL1	CDK1
396	MCL1	CASP3
397	MCL1	GSK3A
398	MCL1	TRAF6
399	MCL1	BIK
400	MCL1	CDK2
401	MCL1	MAPK8
402	MCL1	BAX
403	MCL1	HSPA1A
404	MCL1	MAPK3
405	MCL1	PIN1
406	MCL1	PRKAA1
407	MCL1	BBC3
408	MCM2	HDAC6
409	MCM2	TERF1
410	MCM2	HSPA2
411	MCM2	CDK2
412	MCM2	EHD4
413	MCM2	TUBB3
414	MCM2	SET
415	MCM2	HSPA5
416	MCM2	RBM14
417	MCM2	PTBP1
418	MCM2	CCND1
419	MCM2	PRKDC
420	MCM2	FLNB
421	MCM2	XRCC6
422	MCM2	PCBP2
423	MCM2	MAP3K7
424	MCM2	PHGDH
425	MCM2	CDC42
426	MCM2	PRDX1
427	MCM2	MSN
428	MCM2	HNRNPA1
429	MCM2	MIF
430	MCM2	PARK7
431	MCM2	EP300
432	MCM2	CDK4
433	MCM2	HSPB1
434	MCM2	PRDX3
435	MCM2	ATM
436	MCM2	TCEA1
437	MCM2	AHSA1
438	MCM2	HNRNPK
439	MCM2	CDKN2A
440	MCM2	PPIA
441	MCM2	TGM2
442	MCM2	NCL
443	MCM2	ACTN4
444	MCM2	PRDX2
445	MCM2	CTNNB1
446	MCM2	CLU
447	MCM2	NUP62
448	MCM2	G6PD
449	MCM2	RACK1
450	MCM2	MAPK3
451	MCM2	NDUFS1
452	MCM2	SFPQ
453	MCM2	ENO1
454	MCM2	FLNA
455	MCM2	MAPK1
456	MCM2	MCM4
457	MCM2	PRKAA1
458	MCM2	GLS
459	MCM2	ADA
460	MCM2	VIM
461	MCM2	LGALS1
462	MCM2	CALR
463	MCM2	CTNNA1
464	MCM2	VCAM1
465	MCM2	ANXA1
466	MCM2	SERPINH1
467	MCM2	MYH9
468	MCM2	ANXA2
469	MCM2	HSPA1A
470	MCM2	CDK7
471	MCM2	FKBP4
472	MCM2	HSP90AA1
473	MCM2	HSPA9
474	MCM2	GSTP1
475	MCM2	ALDOA
476	MCM2	CHMP1A
477	MCM2	HSPD1
478	MCM2	CSNK2A1
479	MCM2	XPO1
480	MCM2	GTF2H1
481	MCM2	FSCN1
482	MCM2	NME2
483	MCM2	RSF1
484	MCM2	EZR
485	MCM2	MCM6
486	MCM2	CAT
487	MCM2	FN1
488	MCM2	FABP5
489	MCM2	NME1
490	MCM2	KPNA2
491	MCM2	GRB2
492	MCM4	FBXW4
493	MCM4	PIAS2
494	MCM4	PYCARD
495	MCM4	CUL1
496	MCM4	LIG4
497	MCM4	FKBP4
498	MCM4	VCAM1
499	MCM4	MCM6
500	MCM4	CDK2
501	MCM4	EP300
502	MCM4	CDK1
503	MCM6	FN1
504	MCM6	TRAF6
505	MCM6	VCAM1
506	MCM6	CCND1
507	MCM6	CDK2
508	MCM6	HSPB1
509	MCM6	CDKN2A
510	ACTN4	CDH1
511	ACTN4	MAPK14
512	ACTN4	HSPB1
513	ACTN4	CDKN2A
514	ACTN4	JUN
515	ACTN4	MAPK7
516	ACTN4	CTNNB1
517	ACTN4	APC
518	ACTN4	GRB2
519	ACTN4	VCL
520	ACTN4	MYH9
521	ACTN4	BMP7
522	ACTN4	STAT1
523	ACTN4	FN1
524	ACTN4	EGFR
525	ACTN4	VDR
526	ACTN4	FLNA
527	ACTN4	ICAM1
528	ACTN4	SHC1
529	ACTN4	VCAM1
530	ACTN4	HSPA1A
531	ACTN4	RARA
532	ACTN4	TPM1
533	ACTN4	ALDOA
534	ACTN4	KPNA2
535	ACTN4	GSN
536	ACTN4	MAP3K3
537	ACTN4	TSG101
538	ACTN4	ITGB1
539	JADE1	CTNNB1
540	JADE1	AKT1
541	JADE1	VHL
542	JADE1	ING4
543	ACVRL1	TGFB1
544	ACVRL1	TGFBR1
545	ACVRL1	NR1H2
546	ACVRL1	XIAP
547	ACVRL1	TGFBR2
548	ACVRL1	HSP90AA1
549	ACVRL1	ENG
550	ACVRL1	DNMT1
551	ARID1A	SMAD2
552	ARID1A	SMARCA4
553	ARID1A	MBD2
554	ARID1A	CDK2
555	ARID1A	PRMT5
556	ARID1A	HDAC1
557	ARID1A	VDR
558	ARID1A	SMAD3
559	ARID1A	EP300
560	ARID1A	BRCA1
561	ARID1A	YAP1
562	ARID1A	RARA
563	ARID1A	TP53
564	ARID1A	MTA2
565	ARID1A	RARB
566	ARID1A	SMARCB1
567	EZH2	CDK2
568	EZH2	PRMT5
569	EZH2	RBX1
570	EZH2	PML
571	EZH2	NCL
572	EZH2	DNMT1
573	EZH2	RASA1
574	EZH2	BRCA1
575	EZH2	RACK1
576	EZH2	MAP3K7
577	EZH2	YBX1
578	EZH2	SNAI1
579	EZH2	CDK1
580	EZH2	ATP1A1
581	EZH2	ASPSCR1
582	EZH2	PHGDH
583	EZH2	SRSF1
584	EZH2	EZH1
585	EZH2	HDAC1
586	EZH2	CTNNB1
587	EZH2	FABP5
588	EZH2	YBX3
589	EZH2	RUNX3
590	EZH2	POU5F1
591	EZH2	DNMT3A
592	EZH2	KAT2B
593	EZH2	RELA
594	EZH2	RAP1GAP
595	EZH2	YY1
596	EZH2	AKT1
597	EZH2	WT1
598	EZH2	JAK2
599	EZH2	RBM14
600	EZH2	KMT5A
601	EZH2	TP53
602	EZH2	RARA
603	EZH2	HSPB1
604	EZH2	AR
605	EZH2	DNMT3B
606	EZH2	CUL1
607	EZH2	HSPA1A
608	EZH2	XPO1
609	EZH2	SIRT1
610	EZH2	HSPA1B
611	MDM2	PTK2
612	MDM2	SMURF1
613	MDM2	TSG101
614	MDM2	IRF1
615	MDM2	AR
616	MDM2	CUL1
617	MDM2	SMARCA4
618	MDM2	CASP2
619	MDM2	SIRT6
620	MDM2	CDH1
621	MDM2	TRIM13
622	MDM2	WT1
623	MDM2	GATA3
624	MDM2	TP53
625	MDM2	LATS1
626	MDM2	RUNX3
627	MDM2	HDAC1
628	MDM2	RNF2
629	MDM2	EZR
630	MDM2	ARRB2
631	MDM2	GSK3B
632	MDM2	PSMD10
633	MDM2	CDKN2A
634	MDM2	CSNK2A1
635	MDM2	VDR
636	MDM2	GNAS
637	MDM2	TFRC
638	MDM2	EP300
639	MDM2	HSPA4
640	MDM2	NBN
641	MDM2	SUMO1
642	MDM2	SET
643	MDM2	GSN
644	MDM2	CASP3
645	MDM2	KAT2B
646	MDM2	RARA
647	MDM2	APEX1
648	MDM2	VIM
649	MDM2	RB1
650	MDM2	TP73
651	MDM2	MDM4
652	MDM2	HCK
653	MDM2	S100A4
654	MDM2	XPO1
655	MDM2	NR3C1
656	MDM2	JUN
657	MDM2	NCL
658	MDM2	FOXO4
659	MDM2	LATS2
660	MDM2	YY1
661	MDM2	UCHL1
662	MDM2	CDK2
663	MDM2	SNAI2
664	MDM2	HIF1A
665	MDM2	AKT1
666	MDM2	HNF4A
667	MDM2	PIM1
668	MDM2	HNRNPK
669	MDM2	GSTP1
670	MDM2	FOXO3
671	MDM2	ATF4
672	MDM2	NOTCH1
673	MDM2	HSP90AA1
674	MDM2	FBXW7
675	MDM2	RASSF1
676	MDM2	XRCC6
677	MDM2	SNAI1
678	MDM2	FOXO1
679	MDM2	PSME3
680	MDM2	CDKN1A
681	MDM2	RELA
682	MDM2	PML
683	MDM2	IGF1R
684	MDM2	CSNK1E
685	MDM2	SFPQ
686	MDM2	RCHY1
687	MDM2	WWOX
688	MDM2	TPT1
689	MDM2	COPS5
690	MDM2	PTBP1
691	MDM2	XIAP
692	MDM2	PPM1D
693	MDM2	PBX1
694	MDM2	SRC
695	MDM2	CLU
696	MDM2	HIPK2
697	MDM2	AKT2
698	MDM2	ATM
699	MDM2	EGR1
700	MDM2	NME2
701	MDM4	EP300
702	MDM4	AKT1
703	MDM4	RB1
704	MDM4	SMAD3
705	MDM4	RCHY1
706	MDM4	TP73
707	MDM4	SMAD4
708	MDM4	CDKN1A
709	MDM4	ATM
710	MDM4	CDK1
711	MDM4	HSP90AA1
712	MDM4	CASP3
713	MDM4	NBN
714	MDM4	TP53
715	MDM4	CDKN2A
716	MDM4	PRKAA1
717	F2R	SP1
718	F2R	GNA13
719	F2R	PLG
720	ADAM10	AR
721	ADAM10	DLL1
722	ADAM10	GRB2
723	ADAM10	MAD2L1
724	ADAM10	TGFA
725	ADAM10	EPHA3
726	ADAM10	EFNA1
727	NDRG2	AKT1
728	NDRG2	NDRG1
729	F2RL1	COPS5
730	F2RL1	CAPN2
731	F2RL1	PLG
732	F3	SP1
733	F3	PRKCZ
734	F3	EGR1
735	F3	PLG
736	F3	PRKCE
737	F3	PRKCA
738	F3	FLNA
739	ADA	NR3C1
740	ADA	DPP4
741	ADA	DRD1
742	ADA	TP73
743	ADA	GRB2
744	ADA	SP1
745	ADA	HNRNPA1
746	ADA	PIAS2
747	ADA	ADORA1
748	RXRA	CTNNB1
749	RXRA	MAPK8
750	RXRA	MAPK14
751	RXRA	PML
752	RXRA	GSK3B
753	RXRA	NR1H2
754	RXRA	SMARCA4
755	RXRA	RARA
756	RXRA	PPARGC1A
757	RXRA	MAPK1
758	RXRA	GRB2
759	RXRA	PIK3R1
760	RXRA	MAPK3
761	RXRA	STAT1
762	RXRA	CASP2
763	RXRA	PNRC2
764	RXRA	VDR
765	RXRA	EGFR
766	RXRA	SP1
767	RXRA	MAPK9
768	RXRA	SRC
769	RXRA	EP300
770	RXRA	NR1I2
771	RXRA	NCOA6
772	RXRA	RARB
773	RXRA	KLF5
774	RXRA	NFKB1
775	RXRA	SMAD2
776	RXRA	PARP1
777	RXRA	MAPK7
778	RXRA	RELA
779	MAP3K3	MARK2
780	MAP3K3	COPS5
781	MAP3K3	XIAP
782	MAP3K3	MAP3K7
783	MAP3K3	HSPA1A
784	MAP3K3	XPO1
785	MAP3K3	MAP3K5
786	MAP3K3	HSPA5
787	MAP3K3	RCAN1
788	MAP3K3	IKBKB
789	MAP3K3	PLOD1
790	MAP3K3	SPAG9
791	MAP3K3	BRCA1
792	MAP3K3	MAP2K7
793	MAP3K3	HSPA4
794	MAP3K3	SQSTM1
795	MAP3K3	TUBB3
796	MAP3K3	FLNA
797	MAP3K3	SMURF1
798	MAP3K3	EGFR
799	MAP3K3	VIM
800	MAP3K3	PRKDC
801	MAP3K3	RIPK1
802	MAP3K3	MYH9
803	MAP3K3	HSP90AA1
804	MAP3K3	PHGDH
805	MAP3K3	HSPA2
806	MAP3K3	HSPA9
807	MAP3K3	TRAF6
808	MAP3K3	MTOR
809	AXIN1	TSC1
810	AXIN1	CSNK1E
811	AXIN1	HIPK2
812	AXIN1	SMURF2
813	AXIN1	GSK3A
814	AXIN1	GNAS
815	AXIN1	SMYD2
816	AXIN1	CTNNA1
817	AXIN1	RNF111
818	AXIN1	SMAD3
819	AXIN1	DVL2
820	AXIN1	SMURF1
821	AXIN1	PML
822	AXIN1	PIN1
823	AXIN1	AXIN2
824	AXIN1	DAB2IP
825	AXIN1	MYC
826	AXIN1	SMAD2
827	AXIN1	XPO1
828	AXIN1	GSK3B
829	AXIN1	TP53
830	AXIN1	CTNNB1
831	AXIN1	TSC2
832	AXIN1	TGFBR1
833	AXIN1	APC
834	MAP3K5	PARK7
835	MAP3K5	MAP3K7
836	MAP3K5	MAP2K7
837	MAP3K5	HSPA4
838	MAP3K5	HSP90AA1
839	MAP3K5	IGF1R
840	MAP3K5	SOCS1
841	MAP3K5	EP300
842	MAP3K5	GNA13
843	MAP3K5	TRAF6
844	MAP3K5	GSTP1
845	MAP3K5	AKT2
846	MAP3K5	PDPK1
847	MAP3K5	MAP2K1
848	MAP3K5	AKT1
849	MAP3K5	RAF1
850	MAP3K5	KMT2A
851	MAP3K5	DAB2IP
852	MAP3K5	JAK2
853	MAP3K5	CDKN1A
854	MAP3K5	HSPA1A
855	MAP3K5	PIK3R1
856	MAP3K5	ARRB2
857	BAP1	IGF1R
858	BAP1	HSPA2
859	BAP1	CASP8
860	BAP1	USP21
861	BAP1	YY1
862	BAP1	HSPA1A
863	BAP1	OGT
864	BAP1	BRCA1
865	BAP1	HSPA9
866	BAP1	PSME3
867	BAP1	NBN
868	BAP1	PTEN
869	FABP5	ENO1
870	FABP5	PIN1
871	FABP5	ALDOA
872	FABP5	VHL
873	FABP5	CDK2
874	FABP5	GRB2
875	FABP5	TRAF6
876	FABP5	MSN
877	FABP5	EZR
878	FABP5	HNF1A
879	EHD4	TGFBR2
880	EHD4	EGFR
881	AXIN2	AMOT
882	AXIN2	CSNK1E
883	AXIN2	GSK3A
884	AXIN2	CTNNB1
885	AXIN2	APC
886	AXIN2	GSK3B
887	AXIN2	RNF111
888	AXIN2	SMAD3
889	BRAP	HRAS
890	BRAP	CUL1
891	BRAP	CDKN1A
892	BRAP	RAF1
893	BRAP	BRCA1
894	BRAP	MAP2K1
895	BRAP	IKBKB
896	BRAP	BRAF
897	FZD1	WNT2
898	FZD1	GSK3B
899	TNFRSF12A	RAC1
900	S100A4	XIAP
901	S100A4	APC
902	S100A4	MYH9
903	S100A4	ANXA2
904	S100A4	CDK2
905	S100A4	SMAD3
906	S100A4	HSPB1
907	S100A4	EGFR
908	S100A4	SMAD2
909	S100A4	TP53
910	FZD4	DVL2
911	FZD4	ARRB2
912	FZD4	SLC9A3R1
913	ADM	EDN1
914	ADM	TFAP2A
915	ADORA1	GNAS
916	ADORA1	DRD1
917	ADORA1	GNAO1
918	PTK2B	STAT3
919	PTK2B	GNA13
920	PTK2B	ANXA6
921	PTK2B	FGFR2
922	PTK2B	JAK2
923	PTK2B	JAK3
924	PTK2B	GRB2
925	PTK2B	RASA1
926	PTK2B	PTK2
927	PTK2B	MBD2
928	PTK2B	HSP90AA1
929	PTK2B	PDPK1
930	PTK2B	GSN
931	PTK2B	FLT1
932	PTK2B	PIK3R1
933	PTK2B	SNCA
934	PTK2B	SLC2A1
935	PTK2B	FGFR3
936	PTK2B	PTEN
937	PTK2B	SHC1
938	PTK2B	SRC
939	PTK2B	EGFR
940	IRF9	RELA
941	IRF9	NFKB1
942	IRF9	DNMT3A
943	IRF9	IRF1
944	IRF9	STAT1
945	TUBB3	VCL
946	TUBB3	ARRB2
947	TUBB3	GRB2
948	TUBB3	PTEN
949	TUBB3	TERF1
950	TUBB3	SHC1
951	TUBB3	MSN
952	TUBB3	XPO1
953	TUBB3	HDAC6
954	TUBB3	EGFR
955	TUBB3	RCC1
956	TUBB3	SP1
957	TUBB3	CDKN1A
958	PARP1	KAT2B
959	PARP1	SENP1
960	PARP1	SP1
961	PARP1	BMI1
962	PARP1	SRC
963	PARP1	CTNNB1
964	PARP1	LGALS3
965	PARP1	XRCC6
966	PARP1	NCOA6
967	PARP1	EP300
968	PARP1	NOTCH1
969	PARP1	CDK2
970	PARP1	HSPA2
971	PARP1	TRAF6
972	PARP1	DNMT1
973	PARP1	MAPK3
974	PARP1	JUN
975	PARP1	NFKB2
976	PARP1	TP53
977	PARP1	KLF5
978	PARP1	HDAC1
979	PARP1	TCF3
980	PARP1	SPP1
981	PARP1	IKBKB
982	PARP1	MAPK1
983	PARP1	BRCA1
984	PARP1	RBM14
985	PARP1	NFKB1
986	PARP1	VCAM1
987	PARP1	HSPA4
988	PARP1	TERF2
989	PARP1	FN1
990	PARP1	PRKDC
991	PARP1	HDAC9
992	PARP1	ATM
993	PARP1	VHL
994	PARP1	CASP8
995	PARP1	SIRT1
996	PARP1	NQO1
997	PARP1	CALR
998	PARP1	HIF1A
999	PARP1	HSPA5
1000	PARP1	CCNB1
1001	PARP1	PTK2
1002	PARP1	FOXO1
1003	PARP1	PDPK1
1004	PARP1	CASP3
1005	PARP1	PRKAA1
1006	PARP1	SMARCA1
1007	PARP1	CDK1
1008	PARP1	NCL
1009	PARP1	RELA
1010	PARP1	TCF7L2
1011	PARP1	COPS5
1012	PARP1	CDKN1A
1013	PARP1	SET
1014	PARP1	RARA
1015	FBLN1	SMAD4
1016	FBLN1	FN1
1017	FBLN1	ITGB1
1018	FBLN1	DKK1
1019	FBLN1	SMAD3
1020	FBLN1	TCF7L2
1021	ADRA1A	BMP1
1022	NOD1	MAGED1
1023	NOD1	XIAP
1024	NOD1	CASP8
1025	NOD1	CFLAR
1026	NOD1	HSP90AA1
1027	NOD1	IRF1
1028	NOD1	CASP9
1029	NOD1	HSPA1A
1030	NOD1	CASP2
1031	NOD1	HSPA1B
1032	FBN1	TGFB1
1033	FBN1	DCN
1034	FBN1	RHOB
1035	FBN1	CALR
1036	FBN1	TGFBR1
1037	FBN1	HCK
1038	FBN1	PAK1
1039	DLC1	AKT1
1040	DLC1	WWC1
1041	DLC1	RASA1
1042	DLC1	CUL1
1043	DLC1	TNS3
1044	NDRG1	SPAG9
1045	NDRG1	HSPA4
1046	NDRG1	G6PD
1047	NDRG1	NAMPT
1048	NDRG1	CDH1
1049	NDRG1	ATP1A1
1050	NDRG1	HSP90AA1
1051	NDRG1	MVD
1052	NDRG1	XPO1
1053	NDRG1	NCL
1054	NDRG1	FTO
1055	NDRG1	XRCC6
1056	NDRG1	TP53
1057	NDRG1	HSPA5
1058	NDRG1	TSG101
1059	NDRG1	GSK3A
1060	NDRG1	MLH1
1061	NDRG1	CTNNB1
1062	RACK1	STAT3
1063	RACK1	IGF1R
1064	RACK1	AR
1065	RACK1	COPS5
1066	RACK1	HIF1A
1067	RACK1	STAT1
1068	RACK1	INSR
1069	RACK1	ANXA2
1070	RACK1	SLC9A3R1
1071	RACK1	BRCA1
1072	RACK1	CDKN1A
1073	RACK1	PRPF31
1074	RACK1	NR3C1
