	NFKB1	TNIP2
433	SMURF1	RPS14
434	SMURF1	OXSR1
435	SMURF1	OGT
436	SMURF1	WFS1
437	SMURF1	TRIM28
438	SMURF1	SMAD2
439	SMURF1	INPP5B
440	SMURF1	UBTF
441	SMURF1	STUB1
442	SMURF1	HSPA1B
443	SMURF1	HNRNPAB
444	SMURF1	THRAP3
445	SMURF1	RTKN
446	SMURF1	UBE2L3
447	SMURF1	XRCC5
448	SMURF1	ACVR1
449	SMURF1	SMURF2
450	SMURF1	HSPA1A
451	SMURF1	YBX1
452	SMURF1	CTNNB1
453	SMURF1	ANAPC5
454	SMURF1	RHOA
455	SMURF1	SRSF1
456	SMURF1	UBE2D1
457	SMURF1	USP15
458	SMURF1	BTRC
459	SMURF1	SQSTM1
460	SMURF1	PSME3
461	SMURF1	PPP2R2A
462	SMURF1	RUNX3
463	SMURF1	EIF3E
464	SMURF1	COPRS
465	SMURF1	AXIN1
466	SMURF1	SF3A1
467	SMURF1	SMAD4
468	SMURF1	FZR1
469	SMURF1	SMAD3
470	SMURF1	RIPK2
471	SMURF1	MAVS
472	SMURF1	RPS3
473	SMURF1	SF3B1
474	SMURF1	EIF3A
475	SMURF1	UBE2D3
476	SMURF1	ROCK1
477	SMURF1	KPNB1
478	SMURF1	LATS1
479	SMURF1	FBXL5
480	SMURF1	PRPS1
481	SMURF1	RPS13
482	SMURF1	VCP
483	SMURF1	ELP3
484	SMURF1	PRMT1
485	SMURF1	STAT1
486	SMURF1	CLTC
487	SMURF1	RPS3A
488	SMURF1	CLASP2
489	SMURF1	RPS6
490	SMURF1	UBE2D2
491	SMURF1	TGFBR2
492	SMURF1	FBXL15
493	SMURF1	HNRNPU
494	SMURF1	BMPR1A
495	SMURF1	SMAD5
496	SMURF1	ARHGAP31
497	SMURF1	EEF1D
498	SMURF1	NUDT21
499	SMURF1	NUMA1
500	SMURF1	SMAD7
501	SMURF1	DVL2
502	SMURF1	RNF11
503	SMURF1	PRMT5
504	SMURF1	CCM2
505	SMURF1	TLN1
506	SMURF1	NDFIP1
507	SMURF1	XPO1
508	SMURF1	MAP3K3
509	SMURF1	UBE2M
510	SMURF1	EEF1G
511	SMURF1	CFL1
512	SMURF1	CIRBP
513	SMURF1	WDR77
514	SMURF1	TRAF3
515	SMURF1	HNRNPK
516	SMURF1	PPM1A
517	SMURF1	TRAF6
518	SMURF1	TRAF4
519	SMURF1	STRAP
520	SMURF1	DHX9
521	SMURF1	CCDC88A
522	SMURF1	HNRNPF
523	SMURF1	APBB2
524	SMURF1	LIMS1
525	SMURF1	CDK14
526	SMURF1	KIF11
527	SMURF1	TGFBR1
528	SMURF1	IRAK2
529	SMURF1	APP
530	SMURF1	TIMM50
531	SMURF1	CPSF6
532	SMURF1	CXXC1
533	SMURF1	PPP2CA
534	SMURF1	ARHGAP5
535	SMURF1	NCL
536	SMURF1	AVEN
537	SMURF1	FLNA
538	SMURF1	JUNB
539	SMURF1	SMAD1
540	SMURF1	HSPD1
541	SMURF1	DDX5
542	SMURF1	NDFIP2
543	SMURF1	PTCH1
544	SMURF1	ASH2L
545	SMURF1	BMPR1B
546	SMURF1	TRAF5
547	SMURF1	HNRNPH1
548	SMURF1	TP53
549	HSPA5	DNAJC2
550	HSPA5	NUP62
551	HSPA5	SIRT1
552	HSPA5	SP1
553	HSPA5	CALR
554	HSPA5	DVL2
555	HSPA5	HNRNPF
556	HSPA5	CEP250
557	HSPA5	HSP90B1
558	HSPA5	PSMA1
559	HSPA5	LAMTOR5
560	HSPA5	ING3
561	HSPA5	TRAF2
562	HSPA5	ID2
563	HSPA5	NCL
564	HSPA5	MSN
565	HSPA5	PTEN
566	HSPA5	MCM2
567	HSPA5	SPTBN1
568	HSPA5	FN1
569	HSPA5	DGCR8
570	HSPA5	CDK2
571	HSPA5	NCK1
572	HSPA5	MAPK13
573	HSPA5	ERLIN2
574	HSPA5	HUWE1
575	HSPA5	EGFR
576	HSPA5	PSMC2
577	HSPA5	PSMD14
578	HSPA5	MAP3K7
579	HSPA5	RAB11A
580	HSPA5	HNRNPA1
581	HSPA5	ANTXR1
582	HSPA5	HSPD1
583	HSPA5	IQCB1
584	HSPA5	AKT1
585	HSPA5	PIK3C3
586	HSPA5	ERN1
587	HSPA5	CASP7
588	HSPA5	PAK2
589	HSPA5	TUBG1
590	HSPA5	RAB7A
591	HSPA5	CDKN1A
592	HSPA5	EIF2AK3
593	HSPA5	DNAJC10
594	HSPA5	BCAR1
595	HSPA5	DNAJB9
596	HSPA5	RNF40
597	HSPA5	TNFRSF1A
598	HSPA5	PPP1CC
599	HSPA5	PSME3
600	HSPA5	CBX8
601	HSPA5	HAUS2
602	HSPA5	BASP1
603	HSPA5	UBE3A
604	HSPA5	MAPK7
605	HSPA5	SHC1
606	HSPA5	RIPK3
607	HSPA5	BMI1
608	HSPA5	CUL1
609	HSPA5	SERPINH1
610	HSPA5	PSMB5
611	HSPA5	VHL
612	HSPA5	SART1
613	HSPA5	HDAC1
614	HSPA5	TRAF6
615	HSPA5	YBX3
616	HSPA5	MAP3K1
617	HSPA5	OBSL1
618	HSPA5	HDAC2
619	HSPA5	PSMA2
620	HSPA5	RPA1
621	HSPA5	ARRB1
622	HSPA5	ERLEC1
623	HSPA5	KRT18
624	HSPA5	PSMB4
625	HSPA5	VCP
626	HSPA5	TP53
627	HSPA5	HSPA1A
628	HSPA5	CUL4B
629	HSPA5	RPS3
630	HSPA5	DNAJC1
631	HSPA5	MAP3K3
632	HSPA5	MYH10
633	HSPA5	STMN1
634	HSPA5	GRB2
635	HSPA5	CASP8
636	HSPA5	PSMC5
637	HSPA5	REL
638	HSPA5	RPA2
639	HSPA5	HCFC1
640	HSPA5	FBXO6
641	HSPA5	DHX38
642	HSPA5	DDX5
643	HSPA5	NFKB2
644	HSPA5	HDAC6
645	HSPA5	SIN3B
646	HSPA5	RPS6KB2
647	HSPA5	DNMT1
648	HSPA5	PRNP
649	HSPA5	PTBP1
650	HSPA5	RNF146
651	HSPA5	SNRNP70
652	HSPA5	SSBP1
653	HSPA5	SKI
654	HSPA5	CTNNA1
655	HSPA5	DYRK2
656	HSPA5	APC
657	HSPA5	PRKDC
658	HSPA5	CKAP5
659	HSPA5	VWF
660	HSPA5	YWHAB
661	HSPA5	HSPBP1
662	HSPA5	YBX1
663	HSPA5	ZFP91
664	HSPA5	HSPB1
665	HSPA5	AHSA1
666	HSPA5	MAP3K14
667	HSPA5	MOV10
668	HSPA5	RIPK1
669	HSPA5	NCOR2
670	HSPA5	TBK1
671	HSPA5	ASH2L
672	HSPA5	AGO4
673	HSPA5	IKBKB
674	HSPA5	CDH1
675	HSPA5	HSP90AB1
676	HSPA5	PAWR
677	HSPA5	HDAC5
678	HSPA5	RAB14
679	HSPA5	TXNRD1
680	HSPA5	BRAF
681	HSPA5	PTCH1
682	HSPA5	UCHL5
683	HSPA5	AMFR
684	HSPA5	PABPC1
685	HSPA5	TAB2
686	HSPA5	NDRG1
687	HSPA5	PRKAA1
688	HSPA5	HSP90AA1
689	HSPA5	NPM1
690	HSPA5	TMEM67
691	HSPA5	RAF1
692	HSPA5	RING1
693	HSPA5	CEP57
694	HSPA5	LDLR
695	HSPA5	PARP1
696	HSPA5	RNF2
697	HSPA5	TP63
698	HSPA5	CLU
699	HSPA5	INSIG2
700	HSPA5	MYH9
701	HSPA5	VCL
702	HSPA5	EP300
703	HSPA5	HSPA8
704	HSPA5	RACGAP1
705	HSPA5	RUVBL2
706	HSPA5	TXN
707	HSPA5	BAG6
708	HSPA5	DHX9
709	HSPA5	ITLN1
710	HSPA5	SIN3A
711	HSPA5	WNT4
712	HSPA5	HNRNPU
713	HSPA5	TRAP1
714	HSPA5	YY1
715	HSPA5	N6AMT1
716	HSPA5	ADRM1
717	HSPA5	HNRNPH1
718	HSPA5	NFKBIA
719	HSPA5	CUL4A
720	HSPA5	TANK
721	HSPA5	DDB1
722	HSPA5	SNW1
723	HSPA5	EPS15
724	HSPA5	HSPA2
725	HSPA5	OGT
726	HSPA5	DNAJA1
727	HSPA5	CAND1
728	HSPA5	OS9
729	HSPA5	HSPA4
730	HSPA5	RBBP4
731	HSPA5	WDR5
732	HSPA5	EED
733	HSPA5	RELA
734	HSPA5	LGALS1
735	HSPA5	SMARCA5
736	HSPA5	KPNB1
737	HSPA5	STUB1
738	HSPA5	SRRT
739	HSPA5	INHA
740	HSPA5	XRCC6
741	HSPA5	LAMA1
742	HSPA5	ARRB2
743	HSPA5	RSF1
744	HSPA5	CALM1
745	HSPA5	CUL3
746	HSPA5	PSMC4
747	HSPA5	COPS5
748	HSPA5	TOPBP1
749	HSPA5	PSMC3
750	HSPA5	RBBP7
751	HSPA5	FMNL1
752	HSPA5	SYVN1
753	HSPA5	PIK3R2
754	HSPA5	TARDBP
755	SKIL	UBE2I
756	SKIL	TRIM33
757	SKIL	NCOR1
758	SKIL	PML
759	SKIL	RNF4
760	SKIL	HIPK1
761	SKIL	AXIN1
762	SKIL	FAF1
763	SKIL	PIAS3
764	SKIL	NEDD4
765	SKIL	RB1CC1
766	SKIL	GLUL
767	SKIL	SNRNP70
768	SKIL	NCOR2
769	SKIL	FBLN1
770	SKIL	HIPK3
771	SKIL	PTPRF
772	SKIL	RB1
773	SKIL	EEF1G
774	SKIL	SMAD1
775	SKIL	WWP1
776	SKIL	PSMC2
777	SKIL	MACF1
778	SKIL	TGFBR1
779	SKIL	ZNF106
780	SKIL	UIMC1
781	SKIL	PIAS4
782	SKIL	HDAC1
783	SKIL	SIN3A
784	SKIL	SMURF2
785	SKIL	NID1
786	SKIL	TPM2
787	SKIL	FN1
788	SKIL	SNW1
789	SKIL	CDC16
790	SKIL	XRCC6
791	SKIL	PIAS1
792	SKIL	SETDB1
793	SKIL	SMAD2
794	SKIL	SMAD4
795	SKIL	LRP1
796	SKIL	FZR1
797	SKIL	VPS28
798	SKIL	MAP3K7
799	SKIL	ING2
800	SKIL	CDC27
801	SKIL	NOTCH2
802	SKIL	SMAD3
803	SKIL	SKI
804	SKIL	RNF111
805	SKIL	NID2
806	SKIL	CXXC5
807	UBE2I	AAAS
808	UBE2I	BLM
809	UBE2I	HNRNPLL
810	UBE2I	PPARGC1A
811	UBE2I	ATF3
812	UBE2I	SAE1
813	UBE2I	SUZ12
814	UBE2I	SUMO3
815	UBE2I	PEX10
816	UBE2I	TP73
817	UBE2I	ATF7IP
818	UBE2I	NFKBIA
819	UBE2I	HSF1
820	UBE2I	TRAF3
821	UBE2I	RBM14
822	UBE2I	TERF2
823	UBE2I	ATXN1
824	UBE2I	CLTC
825	UBE2I	SETX
826	UBE2I	SH3GLB1
827	UBE2I	MYH9
828	UBE2I	CREBBP
829	UBE2I	UBE2K
830	UBE2I	RAD18
831	UBE2I	TSC22D3
832	UBE2I	TCF7L2
833	UBE2I	KAT2A
834	UBE2I	CHMP1A
835	UBE2I	MEF2A
836	UBE2I	MAF
837	UBE2I	RCC1
838	UBE2I	BRCA1
839	UBE2I	KDM1A
840	UBE2I	SKI
841	UBE2I	SOX6
842	UBE2I	TOP2B
843	UBE2I	SRF
844	UBE2I	TRIM23
845	UBE2I	TP53
846	UBE2I	SIAH1
847	UBE2I	RNF111
848	UBE2I	RUVBL1
849	UBE2I	TAF12
850	UBE2I	SNIP1
851	UBE2I	BMI1
852	UBE2I	THY1
853	UBE2I	KLF5
854	UBE2I	ARL13B
855	UBE2I	APEX1
856	UBE2I	CDK1
857	UBE2I	HSPB1
858	UBE2I	KCNK1
859	UBE2I	TAF1
860	UBE2I	RXRA
861	UBE2I	XPO7
862	UBE2I	CDKN2A
863	UBE2I	PIAS3
864	UBE2I	PARP1
865	UBE2I	HGS
866	UBE2I	WT1
867	UBE2I	NCOR1
868	UBE2I	RB1
869	UBE2I	ARNT
870	UBE2I	DNM1
871	UBE2I	NR1H2
872	UBE2I	DZIP3
873	UBE2I	UHRF2
874	UBE2I	RBM25
875	UBE2I	BCAM
876	UBE2I	SREBF1
877	UBE2I	PIAS1
878	UBE2I	CHUK
879	UBE2I	SUMO1
880	UBE2I	APP
881	UBE2I	MAP2K1
882	UBE2I	JMJD6
883	UBE2I	BAG3
884	UBE2I	TAB2
885	UBE2I	TOPORS
886	UBE2I	HNRNPM
887	UBE2I	XPO1
888	UBE2I	CTBP1
889	UBE2I	HNRNPA1
890	UBE2I	HDAC4
891	UBE2I	DDX5
892	UBE2I	EXOSC9
893	UBE2I	HIPK1
894	UBE2I	NDC1
895	UBE2I	FOS
896	UBE2I	HDAC5
897	UBE2I	TRIM54
898	UBE2I	CBLC
899	UBE2I	ETV1
900	UBE2I	DAXX
901	UBE2I	CREB1
902	UBE2I	CASP2
903	UBE2I	CDKN1B
904	UBE2I	NUP214
905	UBE2I	RBBP5
906	UBE2I	RNF4
907	UBE2I	SP100
908	UBE2I	TRAF4
909	UBE2I	PDZK1
910	UBE2I	PIAS4
911	UBE2I	GRB2
912	UBE2I	IPO13
913	UBE2I	PRKAR1A
914	UBE2I	HIPK3
915	UBE2I	PIAS2
916	UBE2I	XBP1
917	UBE2I	TRIM28
918	UBE2I	HIF1A
919	UBE2I	HNRNPU
920	UBE2I	PRKDC
921	UBE2I	KAT5
922	UBE2I	UBE2E1
923	UBE2I	TNFRSF1A
924	UBE2I	ANXA1
925	UBE2I	TAF5
926	UBE2I	MAP3K1
927	UBE2I	MGRN1
928	UBE2I	ZNF106
929	UBE2I	SUMO2
930	UBE2I	AR
931	UBE2I	NIN
932	UBE2I	SEH1L
933	UBE2I	LNX2
934	UBE2I	XIAP
935	UBE2I	DNMT3A
936	UBE2I	CREM
937	UBE2I	BRD7
938	UBE2I	HIP1
939	UBE2I	SIAH2
940	UBE2I	RBBP6
941	UBE2I	NR5A2
942	UBE2I	MUL1
943	UBE2I	KMT5A
944	UBE2I	SMAD4
945	UBE2I	PSMC3
946	UBE2I	ZNF24
947	UBE2I	RPS3A
948	UBE2I	TFAP2A
949	UBE2I	THRA
950	UBE2I	DTX3L
951	UBE2I	UBE2D2
952	UBE2I	SART1
953	UBE2I	MDM2
954	UBE2I	GLUL
955	UBE2I	TRIM38
956	UBE2I	SFPQ
957	UBE2I	MYD88
958	UBE2I	TRIM21
959	UBE2I	EP300
960	UBE2I	CASP8AP2
961	UBE2I	KAT6B
962	UBE2I	EIF6
963	UBE2I	ATF2
964	UBE2I	CDK2
965	UBE2I	JUN
966	UBE2I	SMURF2
967	UBE2I	MECOM
968	UBE2I	BIRC3
969	UBE2I	DNMT3B
970	UBE2I	SALL1
971	UBE2I	SUPT7L
972	UBE2I	CAPN2
973	UBE2I	SIRT1
974	UBE2I	MYBBP1A
975	UBE2I	BCL11A
976	UBE2I	TSG101
977	UBE2I	SLC9A1
978	UBE2I	HDAC1
979	UBE2I	CLK2
980	UBE2I	SETDB1
981	UBE2I	NR1I2
982	UBE2I	PARK7
983	UBE2I	NCOR2
984	UBE2I	PML
985	UBE2I	HDAC7
986	UBE2I	RNF40
987	UBE2I	ETS1
988	UBE2I	STAT1
989	UBE2I	CARM1
990	UBE2I	NR3C1
991	UBE2I	HIPK2
992	UBE2I	HNRNPK
993	UBE2I	KRIT1
994	UBE2I	DDX1
995	UBE2I	ALYREF
996	UBE2I	TNRC6A
997	UBE2I	UCHL1
998	UBE2I	CDC37
999	UBE2I	HNF4A
1000	UBE2I	DHX9
1001	UBE2I	KPNB1
1002	UBE2I	SNRNP200
1003	UBE2I	TRIM33
1004	UBE2I	ATXN7
1005	UBE2I	PRKRA
1006	UBE2I	PTEN
1007	UBE2I	SRSF1
1008	UBE2I	TP63
1009	UBE2I	CHFR
1010	UBE2I	CTNNA1
1011	UBE2I	SP3
1012	UBE2I	KIF1B
1013	UBE2I	COPS5
1014	UBE2I	UBA2
1015	UBE2I	RNF144B
1016	UBE2I	TAF10
1017	UBE2I	TRAF6
1018	UBE2I	XRCC5
1019	UBE2I	SLX4
1020	UBE2I	FOXM1
1021	UBE2I	TCF3
1022	UBE2I	UIMC1
1023	UBE2I	USP8
1024	UBE2I	SLC2A1
1025	UBE2I	LMNA
1026	UBE2I	RIPK2
1027	RAC1	ARL2BP
1028	RAC1	MYH9
1029	RAC1	ACTA1
1030	RAC1	RALBP1
