#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FN1	IGFBP3	9606.ENSP00000346839	9606.ENSP00000370473	0	0.483	0	0.809	0.897
FN1	CD44	9606.ENSP00000346839	9606.ENSP00000398632	0	0.270	0	0.902	0.925
FN1	VEGFA	9606.ENSP00000346839	9606.ENSP00000478570	0	0.270	0	0.904	0.927
FOLH1	ALB	9606.ENSP00000256999	9606.ENSP00000295897	0	0	0	0.781	0.781
FOXP3	STAT3	9606.ENSP00000365380	9606.ENSP00000264657	0	0.365	0	0.867	0.912
FOXP3	GATA3	9606.ENSP00000365380	9606.ENSP00000368632	0	0.365	0	0.664	0.778
FOXP3	HIF1A	9606.ENSP00000365380	9606.ENSP00000437955	0	0.075	0	0.821	0.828
GATA3	FOXP3	9606.ENSP00000368632	9606.ENSP00000365380	0	0.365	0	0.664	0.778
GSTM1	MAP3K5	9606.ENSP00000311469	9606.ENSP00000351908	0	0.488	0	0.868	0.929
HIF1A	RBX1	9606.ENSP00000437955	9606.ENSP00000216225	0	0.270	0.900	0.316	0.945
HIF1A	AHR	9606.ENSP00000437955	9606.ENSP00000242057	0	0	0	0.797	0.797
HIF1A	VHL	9606.ENSP00000437955	9606.ENSP00000256474	0	0.934	0.900	0.960	0.999
HIF1A	EPAS1	9606.ENSP00000437955	9606.ENSP00000263734	0	0.254	0.300	0.643	0.797
HIF1A	STAT3	9606.ENSP00000437955	9606.ENSP00000264657	0	0.498	0	0.828	0.910
HIF1A	HNF4A	9606.ENSP00000437955	9606.ENSP00000312987	0	0.512	0	0.695	0.844
HIF1A	PKM	9606.ENSP00000437955	9606.ENSP00000320171	0	0.270	0	0.898	0.922
HIF1A	CTNNB1	9606.ENSP00000437955	9606.ENSP00000344456	0	0.483	0	0.920	0.957
HIF1A	FOXP3	9606.ENSP00000437955	9606.ENSP00000365380	0	0.075	0	0.821	0.828
HIF1A	ESRRA	9606.ENSP00000437955	9606.ENSP00000384851	0	0.400	0	0.667	0.792
HIF1A	CDKN2A	9606.ENSP00000437955	9606.ENSP00000418915	0	0.443	0.900	0.593	0.975
HIF1A	CUL2	9606.ENSP00000437955	9606.ENSP00000444856	0	0.497	0.900	0.796	0.988
HIF1A	TCEB1	9606.ENSP00000437955	9606.ENSP00000478121	0	0.909	0.900	0.896	0.998
HMMR	CD44	9606.ENSP00000377492	9606.ENSP00000398632	0	0	0	0.899	0.899
HNF4A	HIF1A	9606.ENSP00000312987	9606.ENSP00000437955	0	0.512	0	0.695	0.844
HNF4A	CTNNB1	9606.ENSP00000312987	9606.ENSP00000344456	0	0.549	0	0.905	0.955
IGFBP3	FN1	9606.ENSP00000370473	9606.ENSP00000346839	0	0.483	0	0.809	0.897
IL13RA2	CHI3L1	9606.ENSP00000361004	9606.ENSP00000255409	0	0.579	0	0.718	0.876
IL2	MAPK3	9606.ENSP00000226730	9606.ENSP00000263025	0	0	0.900	0	0.900
IL6	ERBB2	9606.ENSP00000385675	9606.ENSP00000269571	0	0	0.900	0.196	0.916
JADE1	VHL	9606.ENSP00000226319	9606.ENSP00000256474	0	0.531	0	0.696	0.851
KIT	EPO	9606.ENSP00000288135	9606.ENSP00000252723	0	0	0.900	0.211	0.917
KIT	PTPRU	9606.ENSP00000288135	9606.ENSP00000334941	0	0.284	0.800	0.280	0.887
KPNA2	AR	9606.ENSP00000438483	9606.ENSP00000363822	0	0.571	0	0.537	0.792
LDLR	SERPINE1	9606.ENSP00000454071	9606.ENSP00000223095	0	0.059	0	0.761	0.765
LOX	FN1	9606.ENSP00000231004	9606.ENSP00000346839	0	0.566	0	0.831	0.923
MAP3K5	GSTM1	9606.ENSP00000351908	9606.ENSP00000311469	0	0.488	0	0.868	0.929
MAP3K5	AKT1	9606.ENSP00000351908	9606.ENSP00000451828	0	0.394	0.900	0.685	0.979
MAP3K8	AKT1	9606.ENSP00000263056	9606.ENSP00000451828	0	0.287	0.900	0	0.925
MAPK3	IL2	9606.ENSP00000263025	9606.ENSP00000226730	0	0	0.900	0	0.900
MAPK3	CXCL12	9606.ENSP00000263025	9606.ENSP00000379140	0	0	0.900	0	0.900
MET	STAT3	9606.ENSP00000317272	9606.ENSP00000264657	0	0.297	0.600	0.277	0.779
MET	ERBB3	9606.ENSP00000317272	9606.ENSP00000267101	0	0.515	0	0.758	0.877
MET	CD44	9606.ENSP00000317272	9606.ENSP00000398632	0	0.475	0	0.890	0.940
MET	CTNNB1	9606.ENSP00000317272	9606.ENSP00000344456	0	0.491	0.900	0.679	0.982
MME	PTEN	9606.ENSP00000418525	9606.ENSP00000361021	0	0.483	0	0.819	0.902
MMP2	TIMP1	9606.ENSP00000219070	9606.ENSP00000218388	0	0.106	0	0.898	0.905
MMP9	TIMP1	9606.ENSP00000361405	9606.ENSP00000218388	0	0.479	0.800	0.903	0.989
MMP9	CD44	9606.ENSP00000361405	9606.ENSP00000398632	0	0	0.600	0.902	0.959
MTOR	TERT	9606.ENSP00000354558	9606.ENSP00000309572	0	0.270	0.900	0	0.923
MTOR	AKT1	9606.ENSP00000354558	9606.ENSP00000451828	0	0.567	0.900	0.908	0.995
PDCD1	CD274	9606.ENSP00000335062	9606.ENSP00000370989	0	0.939	0.600	0.950	0.998
PDGFRA	STAT3	9606.ENSP00000257290	9606.ENSP00000264657	0	0.649	0.600	0	0.853
PIK3CB	AKT1	9606.ENSP00000289153	9606.ENSP00000451828	0	0.276	0.600	0.481	0.836
PIWIL1	SND1	9606.ENSP00000245255	9606.ENSP00000346762	0	0.731	0	0.601	0.888
PIWIL1	PIWIL4	9606.ENSP00000245255	9606.ENSP00000299001	0	0	0	0.896	0.896
PIWIL4	PIWIL1	9606.ENSP00000299001	9606.ENSP00000245255	0	0	0	0.896	0.896
PKM	CD44	9606.ENSP00000320171	9606.ENSP00000398632	0	0	0	0.814	0.814
PKM	HIF1A	9606.ENSP00000320171	9606.ENSP00000437955	0	0.270	0	0.898	0.922
PKM	CTNNB1	9606.ENSP00000320171	9606.ENSP00000344456	0	0.483	0	0.908	0.950
PTEN	CTNNB1	9606.ENSP00000361021	9606.ENSP00000344456	0	0.484	0	0.763	0.872
PTEN	AKT1	9606.ENSP00000361021	9606.ENSP00000451828	0	0.495	0	0.464	0.717
PTEN	MME	9606.ENSP00000361021	9606.ENSP00000418525	0	0.483	0	0.819	0.902
PTEN	SPOP	9606.ENSP00000361021	9606.ENSP00000377001	0	0.936	0	0.052	0.937
PTPRU	KIT	9606.ENSP00000334941	9606.ENSP00000288135	0	0.284	0.800	0.280	0.887
RBX1	HIF1A	9606.ENSP00000216225	9606.ENSP00000437955	0	0.270	0.900	0.316	0.945
RBX1	SPOP	9606.ENSP00000216225	9606.ENSP00000377001	0	0.116	0.900	0.775	0.978
RBX1	VHL	9606.ENSP00000216225	9606.ENSP00000256474	0	0.897	0.900	0.755	0.997
RBX1	TCEB1	9606.ENSP00000216225	9606.ENSP00000478121	0	0.857	0.900	0.952	0.999
RBX1	CUL2	9606.ENSP00000216225	9606.ENSP00000444856	0	0.934	0.900	0.959	0.999
SDHB	SDHC	9606.ENSP00000364649	9606.ENSP00000356953	0	0.897	0.800	0.952	0.998
SDHC	SDHB	9606.ENSP00000356953	9606.ENSP00000364649	0	0.897	0.800	0.952	0.998
SERPINE1	LDLR	9606.ENSP00000223095	9606.ENSP00000454071	0	0.059	0	0.761	0.765
SLC6A3	FLOT1	9606.ENSP00000270349	9606.ENSP00000365569	0	0	0.900	0	0.900
SND1	PIWIL1	9606.ENSP00000346762	9606.ENSP00000245255	0	0.731	0	0.601	0.888
SOX2	CTNNB1	9606.ENSP00000323588	9606.ENSP00000344456	0	0.498	0.600	0.878	0.973
SPARC	ALB	9606.ENSP00000231061	9606.ENSP00000295897	0	0	0	0.898	0.898
SPOP	RBX1	9606.ENSP00000377001	9606.ENSP00000216225	0	0.116	0.900	0.775	0.978
SPOP	PTEN	9606.ENSP00000377001	9606.ENSP00000361021	0	0.936	0	0.052	0.937
SPOP	AR	9606.ENSP00000377001	9606.ENSP00000363822	0	0.491	0	0.436	0.700
STAT3	PDGFRA	9606.ENSP00000264657	9606.ENSP00000257290	0	0.649	0.600	0	0.853
STAT3	MET	9606.ENSP00000264657	9606.ENSP00000317272	0	0.297	0.600	0.277	0.779
STAT3	CD44	9606.ENSP00000264657	9606.ENSP00000398632	0	0.270	0	0.882	0.910
STAT3	HIF1A	9606.ENSP00000264657	9606.ENSP00000437955	0	0.498	0	0.828	0.910
STAT3	FOXP3	9606.ENSP00000264657	9606.ENSP00000365380	0	0.365	0	0.867	0.912
STAT3	ERBB2	9606.ENSP00000264657	9606.ENSP00000269571	0	0.502	0	0.853	0.923
STAT3	AR	9606.ENSP00000264657	9606.ENSP00000363822	0	0.484	0	0.886	0.939
STAT3	DNMT1	9606.ENSP00000264657	9606.ENSP00000352516	0	0.491	0	0.887	0.940
TCEB1	RBX1	9606.ENSP00000478121	9606.ENSP00000216225	0	0.857	0.900	0.952	0.999
TCEB1	VHL	9606.ENSP00000478121	9606.ENSP00000256474	0	0.959	0.900	0.949	0.999
TCEB1	EPAS1	9606.ENSP00000478121	9606.ENSP00000263734	0	0.848	0.900	0.207	0.986
TCEB1	HIF1A	9606.ENSP00000478121	9606.ENSP00000437955	0	0.909	0.900	0.896	0.998
TCEB1	CUL2	9606.ENSP00000478121	9606.ENSP00000444856	0	0.957	0.900	0.959	0.999
TEK	ANGPT2	9606.ENSP00000369375	9606.ENSP00000314897	0	0.757	0.900	0.915	0.997
TEK	VEGFA	9606.ENSP00000369375	9606.ENSP00000478570	0	0.059	0	0.821	0.825
TERT	MTOR	9606.ENSP00000309572	9606.ENSP00000354558	0	0.270	0.900	0	0.923
TERT	AKT1	9606.ENSP00000309572	9606.ENSP00000451828	0	0.483	0.900	0.435	0.968
TERT	CTNNB1	9606.ENSP00000309572	9606.ENSP00000344456	0	0.341	0.900	0.833	0.988
TGFA	ERBB3	9606.ENSP00000295400	9606.ENSP00000267101	0	0	0.900	0	0.900
TGFA	ERBB2	9606.ENSP00000295400	9606.ENSP00000269571	0	0.549	0.900	0	0.952
TGFBI	FN1	9606.ENSP00000416330	9606.ENSP00000346839	0	0.462	0	0.604	0.778
TICAM2	TMED7-TICAM2	9606.ENSP00000415139	9606.ENSP00000282382	0	0.800	0	0.079	0.807
TIMP1	CD44	9606.ENSP00000218388	9606.ENSP00000398632	0	0	0	0.787	0.787
TIMP1	MMP2	9606.ENSP00000218388	9606.ENSP00000219070	0	0.106	0	0.898	0.905
TIMP1	MMP9	9606.ENSP00000218388	9606.ENSP00000361405	0	0.479	0.800	0.903	0.989
TMED7-TICAM2	TICAM2	9606.ENSP00000282382	9606.ENSP00000415139	0	0.800	0	0.079	0.807
VCAM1	CXCL12	9606.ENSP00000294728	9606.ENSP00000379140	0	0	0	0.702	0.702
VCAM1	FN1	9606.ENSP00000294728	9606.ENSP00000346839	0	0	0	0.782	0.782
VCAM1	CD44	9606.ENSP00000294728	9606.ENSP00000398632	0	0	0	0.785	0.785
VDR	CTNNB1	9606.ENSP00000447173	9606.ENSP00000344456	0	0	0	0.883	0.883
VEGFA	FLT4	9606.ENSP00000478570	9606.ENSP00000261937	0	0.073	0.900	0.907	0.990
VEGFA	ANGPT2	9606.ENSP00000478570	9606.ENSP00000314897	0	0.309	0	0.891	0.921
VEGFA	CTNNB1	9606.ENSP00000478570	9606.ENSP00000344456	0	0	0.900	0	0.900
VEGFA	FN1	9606.ENSP00000478570	9606.ENSP00000346839	0	0.270	0	0.904	0.927
VEGFA	TEK	9606.ENSP00000478570	9606.ENSP00000369375	0	0.059	0	0.821	0.825
VHL	RBX1	9606.ENSP00000256474	9606.ENSP00000216225	0	0.897	0.900	0.755	0.997
VHL	JADE1	9606.ENSP00000256474	9606.ENSP00000226319	0	0.531	0	0.696	0.851
VHL	FN1	9606.ENSP00000256474	9606.ENSP00000346839	0	0.483	0	0.876	0.933
VHL	EPAS1	9606.ENSP00000256474	9606.ENSP00000263734	0	0.922	0.900	0.756	0.997
VHL	HIF1A	9606.ENSP00000256474	9606.ENSP00000437955	0	0.934	0.900	0.960	0.999
VHL	TCEB1	9606.ENSP00000256474	9606.ENSP00000478121	0	0.959	0.900	0.949	0.999
VHL	CUL2	9606.ENSP00000256474	9606.ENSP00000444856	0	0.942	0.900	0.942	0.999
WWOX	ERBB4	9606.ENSP00000457230	9606.ENSP00000342235	0	0.483	0.900	0.715	0.983
